"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Nigeria","Market Average","Market Average","food_price_index","2021-03-01","1.35","1.38","1.33","1.37","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-04-01","1.39","1.42","1.37","1.4","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-05-01","1.42","1.44","1.4","1.42","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-06-01","1.43","1.5","1.41","1.5","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-07-01","1.53","1.57","1.5","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-08-01","1.58","1.61","1.55","1.58","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-09-01","1.59","1.62","1.54","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-10-01","1.53","1.56","1.47","1.47","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-11-01","1.45","1.48","1.41","1.42","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-12-01","1.41","1.44","1.38","1.44","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-01-01","1.45","1.52","1.42","1.52","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-02-01","1.57","1.61","1.53","1.53","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-03-01","1.56","1.59","1.52","1.55","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-04-01","1.54","1.57","1.51","1.53","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-05-01","1.53","1.56","1.5","1.51","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-06-01","1.5","1.53","1.48","1.53","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-07-01","1.55","1.57","1.52","1.56","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-08-01","1.58","1.61","1.54","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-09-01","1.53","1.57","1.5","1.53","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-10-01","1.52","1.55","1.49","1.52","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-11-01","1.53","1.56","1.5","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2022-12-01","1.55","1.58","1.53","1.56","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-01-01","1.57","1.59","1.54","1.55","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-02-01","1.55","1.58","1.53","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-03-01","1.53","1.56","1.5","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-04-01","1.54","1.56","1.51","1.54","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-05-01","1.55","1.58","1.53","1.57","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-06-01","1.58","1.61","1.56","1.61","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-07-01","1.63","1.66","1.61","1.63","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-08-01","1.65","1.67","1.62","1.62","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-09-01","1.62","1.65","1.59","1.61","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-10-01","1.6","1.63","1.57","1.58","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-11-01","1.57","1.6","1.55","1.57","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2023-12-01","1.56","1.59","1.54","1.57","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2024-01-01","1.58","1.6","1.55","1.6","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-01-01","7654.13","7892.1","7505.68","7690.1","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-02-01","7735.11","7935.85","7538.11","7808.14","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-03-01","7863.01","8056.32","7669.7","7856.63","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-04-01","7903.64","8085.54","7721.73","7814.8","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-05-01","7829.27","8006.52","7651.5","7791","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-06-01","7808.6","7980.24","7637.02","7855.47","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-07-01","7897.09","8068.33","7724.24","7835.77","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-08-01","7873.36","8285.66","7703.62","8285.66","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-09-01","8376.99","8621.21","8132.77","8310.94","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-10-01","8415.09","8988.47","8208.49","8988.47","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-11-01","9090.32","9682.59","8774.32","9668.11","NGN"
"","Nigeria","Market Average","Market Average","gari","2007-12-01","9919.12","10274.78","9561.79","9750.09","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-01-01","9850.34","10611.28","9552.17","10611.28","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-02-01","10720.31","11136.34","10304.29","10621.38","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-03-01","10829.67","11149.92","10509.42","10853.97","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-04-01","10863.12","11148.41","10430.24","10435.34","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-05-01","10437.55","11301.48","10141.75","11301.48","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-06-01","11452.11","11906.07","10997.57","11285.09","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-07-01","11494.98","11940.57","11140.16","11913.76","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-08-01","11966.7","12338.07","11373.67","11378.08","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-09-01","11430.19","11792.4","11069","11612.52","NGN"
"","Nigeria","Market Average","Market Average","gari","2008-10-01","11606.28","11924.82","11290","11684.29","NGN"
